ASV,Kingdom,Phylum,Class,Order,Family,Genus
1afade418f0824ac538ff570577c89f9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
5487af5e9c789799eb4d7a51dbb70f59,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
2c7e08f899ec733df5b1861c3ca4ddce,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
22ceaa92b77d927103f3d20fcf064840,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
9b39a845425872b8466dd78a5748b19d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
8f1ac9cd1be2610edaa7de3affd1e5ce,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
2769f8052c43a5d47ee5c1b04f538d11,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
daa77c76b58899d1100409f8bfc2bd16,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
f95e1b6267785d8b46ced80dff046833,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
1b74420b90b436e4baee5cf30c4fb0be,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
cb398b20fdc2eaedcd73596bb2c77682,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
1efa2e9ca8d9d0128928e26097941fb2,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
425e9e1829306055f7684fe227667e9f,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
6cfbd8b8c7f8e530d2fb6e0703c7b9c6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
e4d0cdd5dd93b06306672c90e6cece81,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
cbd71b96691f8d6c3a9a5115c92ecc87,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
c1716ce98d5de855dfa71fc5b3387705,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
0a96e4f41bd1ae7995253de846500b7b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
ac1c1d5260584f0009ee1012d16ee70f,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
aecebb38a8554c431cfef6406c499ef0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
77d4c137b91e951291c63dd11ea2f943,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
73ce144cd625c425386e3ee8dd68af7b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
97683b444ce9f10ddda4e3d152c4b9ca,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
38d1698e835fb96434e5d851854a7213,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
f1601d036343b23f4b204b0521e8c957,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
ef34ac03dbd3274f0ad19186c7756bdd,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella
56bfb04ca24b7fd36279506b5bfec691,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
31dc09368fce47e81a705e608e21b99c,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
b6c17282a91966400a9e083c34f3d2b4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
adf88f6452c7cdb5ef94166f5c38842f,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella
57a3c41f0824185ffd45a04de07f4181,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
d062ed6e946e412d6a7ac5902d4c5a64,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
1e00202219e1ab7af93428bc9816a0e0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiales_unclassified,g_Burkholderiales_unclassified
8e98318d3fb12bb93a5a96e4ce4bc46d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
a81e96689d081a2e45ec53e0251af158,Bacteria,Bacteria_unclassified,c_Bacteria_unclassified,o_Bacteria_unclassified,f_Bacteria_unclassified,g_Bacteria_unclassified
815b63aec82f14a6ed8ff799ed7b82fc,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
5e7d571ad0c3016064131898a8ab54b1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
dd6d5d3fc82f1035e072d5d677956db0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
5b920ea432c5d30dfea73f0e7f1f50d3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
899acbfec58547cd126b15c350eea3e5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
4d95794427cf49b52b79bfb1ec078cdc,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
100a493b7fc624b3734a4ef57910f887,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
cf64bb4e7e346dd6bcae70326da50b6a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
0aa02a8bc5e08ea20ae1a74ffc92fa0d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
ac62a3d55c338e45cd944ebedb96cf37,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
c7a672136f83885053dc96f6ff67a283,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
d7f8de93baaee5e59054e4da7ac6e629,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
ea55c827338cb8cec0f72d02d4dbd521,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
921884bd1affa0a399ebf9abb40c95b0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
3af0092a7a27f5e0634138b69a53dc6e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
fb93a988e804aef40604f0141c47eb3b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
54c76e33aaded49ce083e11b9e6190f4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiales_unclassified,g_Burkholderiales_unclassified
d2b32ee41fd9694859de64bc56329fa7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
4d78428df0d768b8a7191ad9a6281a94,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella
2dd505acee5ca020030e75772c18b49c,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiales_unclassified,g_Burkholderiales_unclassified
5cde7803b1b5e8d96f41279afb4316cd,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
c086caac49b1105db08fa0c6ac0287fe,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
c0b6806043a3621c04b3679888c20f9b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
4c7289ee08ae7bc9993bcc9ab15bc345,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
b7c5af2731b48e8e702c4aad30301389,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
5c38f8ca5f72a6abe6768471d1ddf5dd,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
14364f46a5b955b74f15aaebb0594d55,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
b4262904466f2ac985c45a4bf8602c4e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
3dafe935c304e0af3c3748c0c115a294,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
ed6a09963301cbd9507d674096a282cc,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
c641d9c33f59003e2ebea3fa30f28779,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
2ab3cc01774b0ec670d2e71044826642,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
87bd3ccfff7bbf99c8ec2e49e851a1ae,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
57bfa0cb09d77e1d8a3311839ebd0e28,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
ac1aaf575d9c68a70dfbd87aa44ff92a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
2d4f67c779437913d02738bec6aff5eb,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
b2fb2caeeca7629053126684b6e735bf,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
c8affa46eb008e54b492730b0b64dce3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
433507aa769db22aac994cb55ab4bb63,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
4e56bb50d1ad58f9b5de9645d15809e1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
bb223755210bd336afa4ea758b052671,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
8f17f8a075e00f5a3903fd4c44143301,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
63b75b945dd0734cd4ac06988ad897a9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
4927793a063fcc3c9be763aca6878e66,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
